Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-1991.091	-1959.544	-31.54775	1	0.136954	0.476752	1	2.38629	5.741342
10	-1376.215	-1347.012	-29.20353	6.438455	0.552698	0.831903	1.08026	1.53514	5.506921
20	-1315.522	-1283.786	-31.73567	2.666146	0.361663	0.71119	1.08029	1.84686	5.760135
30	-1296.613	-1270.508	-26.105	3.093481	0.396367	0.736576	1.08294	1.78412	5.197068
40	-1299.89	-1273.346	-26.54401	5.631309	0.526358	0.81767	1.08206	1.57391	5.240968
50	-1256.206	-1240.935	-15.27073	3.98935	0.453776	0.77484	1.0844	1.68698	4.11364
60	-1249.261	-1228.504	-20.7571	1.951884	0.287463	0.649798	1.06874	1.994	4.662278
70	-1245.862	-1225.9	-19.96142	2.935673	0.384223	0.727903	1.08218	1.80569	4.582709
80	-1252.766	-1227.678	-25.08732	3.420737	0.419401	0.752449	1.08393	1.74422	5.095299
90	-1252.954	-1227.97	-24.98373	5.033167	0.503449	0.804751	1.08324	1.60856	5.084941
100	-1254.594	-1239.515	-15.07911	8.222807	0.597952	0.854918	1.07614	1.47099	4.094478
110	-1249.205	-1227.309	-21.89598	3.678251	0.435763	0.763292	1.0843	1.71665	4.776166
120	-1250.012	-1226.587	-23.42589	2.959846	0.386131	0.72928	1.08231	1.80228	4.929157
130	-1255.619	-1229.871	-25.74759	2.599034	0.355649	0.706596	1.07967	1.85809	5.161327
140	-1255.86	-1227.5	-28.35991	3.206065	0.404601	0.742335	1.08336	1.7697	5.422558
150	-1252.397	-1229.792	-22.60441	7.646383	0.584895	0.848455	1.07745	1.4892	4.847009
160	-1259.574	-1235.452	-24.12257	4.795712	0.493365	0.798895	1.08364	1.6241	4.998825
170	-1260.881	-1237.004	-23.87701	4.934007	0.499313	0.802362	1.08342	1.61491	4.974269
180	-1255.186	-1229.413	-25.77345	7.777386	0.587976	0.849993	1.07715	1.48488	5.163913
190	-1258.6	-1237.291	-21.30888	6.824837	0.563816	0.83772	1.07936	1.5191	4.717456
200	-1272.773	-1247.369	-25.40466	8.810487	0.610048	0.860783	1.07484	1.45433	5.127034
210	-1259.24	-1238.292	-20.94805	17.9	0.717581	0.908166	1.06002	1.31423	4.681372
220	-1257.053	-1233.797	-23.25602	8.489693	0.603586	0.857664	1.07554	1.46321	4.91217
230	-1250.876	-1227.382	-23.49391	2.059384	0.300262	0.661183	1.07141	1.96715	4.935959
240	-1253.335	-1229.623	-23.71187	3.329641	0.413258	0.748287	1.08372	1.75473	4.957755
250	-1257.926	-1234.226	-23.69963	3.487968	0.423812	0.755406	1.08405	1.73673	4.95653
260	-1242.095	-1221.257	-20.83897	4.321726	0.471208	0.785648	1.08423	1.65892	4.670465
270	-1249.578	-1228.989	-20.58946	5.004881	0.50228	0.804077	1.08329	1.61035	4.645514
280	-1262.554	-1237.982	-24.57257	10.09693	0.633063	0.871625	1.07214	1.42317	5.043825
290	-1264.191	-1240.554	-23.63758	10.68286	0.642254	0.875843	1.07099	1.41092	4.950326
300	-1260.49	-1230.738	-29.75234	4.710045	0.48957	0.796664	1.08377	1.63	5.561801
310	-1250.156	-1226.499	-23.65685	2.242253	0.320574	0.678527	1.07502	1.92588	4.952252
320	-1256.522	-1234.14	-22.38222	6.375929	0.550816	0.830907	1.0804	1.53787	4.82479
330	-1246.737	-1225.912	-20.82527	4.982081	0.501332	0.80353	1.08333	1.61181	4.669095
340	-1249.527	-1228.661	-20.86596	3.72153	0.438378	0.764993	1.08433	1.7123	4.673164
350	-1249.72	-1234.72	-15.00037	36.64868	0.798538	0.938862	1.04557	1.21703	4.086605
360	-1252.982	-1229.829	-23.15282	3.544706	0.427456	0.75783	1.08414	1.73057	4.90185
370	-1242.556	-1224.537	-18.01909	2.679585	0.362848	0.712088	1.0804	1.84466	4.388477
380	-1250.127	-1228.272	-21.8547	3.425575	0.419722	0.752665	1.08394	1.74367	4.772038
390	-1253.802	-1231.644	-22.15835	5.29181	0.513764	0.810632	1.08276	1.59284	4.802403
400	-1252.123	-1230.897	-21.22625	7.146401	0.572451	0.842164	1.07861	1.50677	4.709193
410	-1250.008	-1229.491	-20.51613	5.195295	0.509992	0.808494	1.08295	1.59857	4.638181
420	-1255.423	-1230.013	-25.4101	3.116091	0.398048	0.73776	1.08303	1.78116	5.127577
430	-1245.249	-1227.173	-18.07638	2.307131	0.327373	0.684147	1.07607	1.91241	4.394205
440	-1244.075	-1228.906	-15.16863	2.311551	0.327829	0.684521	1.07614	1.91151	4.103431
450	-1259.08	-1233.767	-25.31238	4.21317	0.465703	0.782272	1.08431	1.66771	5.117806
460	-1255.964	-1231.246	-24.71806	4.448888	0.477442	0.789429	1.0841	1.64903	5.058374
470	-1253.496	-1226.677	-26.81897	2.683128	0.363159	0.712323	1.08043	1.84409	5.268464
480	-1244.553	-1230.887	-13.66681	3.438196	0.420557	0.753226	1.08396	1.74225	3.953249
490	-1256.865	-1234.765	-22.10028	2.664568	0.361524	0.711084	1.08027	1.84712	4.796596
500	-1257.223	-1231.436	-25.78686	9.630041	0.625199	0.867965	1.07309	1.43374	5.165253
510	-1261.735	-1240.349	-21.38602	5.337033	0.515501	0.811612	1.08267	1.59022	4.725169
520	-1248.866	-1228.984	-19.88147	3.554086	0.428052	0.758225	1.08416	1.72957	4.574715
530	-1249.238	-1228.855	-20.38343	2.35361	0.332123	0.68802	1.07676	1.9031	4.624911
540	-1254.522	-1230.842	-23.67975	2.968452	0.386806	0.729766	1.08236	1.80107	4.954543
550	-1252.268	-1223.694	-28.57387	5.3381	0.515541	0.811635	1.08267	1.59016	5.443954
560	-1254.072	-1232.311	-21.76118	4.099594	0.459751	0.778584	1.08437	1.67729	4.762686
570	-1248.796	-1229.759	-19.03718	4.777123	0.492549	0.798417	1.08367	1.62537	4.490285
580	-1249.672	-1229.772	-19.90019	4.728747	0.490406	0.797157	1.08374	1.6287	4.576587
590	-1254.99	-1231.152	-23.8384	3.988109	0.453708	0.774797	1.0844	1.68709	4.970407
600	-1251.759	-1226.581	-25.17799	2.101469	0.305094	0.665387	1.07233	1.95719	5.104367
610	-1247.986	-1224.189	-23.79673	5.055046	0.504348	0.805267	1.0832	1.60718	4.966241
620	-1258.029	-1235.839	-22.19024	5.200307	0.51019	0.808606	1.08294	1.59827	4.805591
630	-1248.581	-1223.664	-24.91726	2.923106	0.383224	0.72718	1.08211	1.80749	5.078294
640	-1275.687	-1242.233	-33.45361	2.548776	0.351033	0.703028	1.07916	1.86678	5.931929
650	-1242.426	-1224.764	-17.66137	2.001597	0.293465	0.655183	1.07003	1.98132	4.352705
660	-1264.965	-1234.855	-30.1102	2.054373	0.29968	0.660674	1.07129	1.96835	5.597587
670	-1256.306	-1234.885	-21.42166	6.764296	0.56213	0.836845	1.0795	1.52152	4.728733
680	-1266.367	-1241.087	-25.28041	3.928803	0.450408	0.77271	1.08441	1.69248	5.114608
690	-1262.795	-1237.073	-25.72196	19.29891	0.7273	0.912062	1.05842	1.30222	5.158764
700	-1252.649	-1236.138	-16.51181	10.96999	0.646509	0.877774	1.07044	1.40528	4.237749
710	-1247.774	-1227.477	-20.29668	2.872903	0.379184	0.724239	1.08181	1.81477	4.616236
720	-1260.865	-1229.558	-31.30635	2.109447	0.305998	0.666169	1.0725	1.95533	5.717202
